n 250
c 1000
z 0
time 0.00
0,523,528,0
1,516,524,0
2,516,514,0
3,518,529,0
4,530,525,0
5,515,515,0
6,516,521,0
7,526,511,0
8,514,514,0
9,521,521,0
10,515,530,0
11,511,530,0
12,525,511,0
13,529,523,0
14,514,520,0
15,517,522,0
16,513,529,0
17,514,530,0
18,521,529,0
19,519,513,0
20,523,528,0
21,514,519,0
22,519,530,0
23,522,522,0
24,528,511,0
25,528,523,0
26,527,527,0
27,512,526,0
28,517,521,0
29,513,523,0
30,524,524,0
31,529,513,0
32,528,514,0
33,513,517,0
34,521,514,0
35,527,524,0
36,511,518,0
37,529,519,0
38,528,520,0
39,525,530,0
40,514,530,0
41,514,528,0
42,525,521,0
43,521,520,0
44,530,525,0
45,517,523,0
46,516,526,0
47,528,524,0
48,523,519,0
49,523,523,0
50,517,511,0
51,517,522,0
52,523,514,0
53,527,513,0
54,517,516,0
55,521,512,0
56,519,526,0
57,514,528,0
58,518,511,0
59,528,512,0
60,525,515,0
61,519,521,0
62,268,268,0
63,267,280,0
64,263,278,0
65,273,266,0
66,279,264,0
67,274,267,0
68,265,262,0
69,267,280,0
70,275,279,0
71,264,263,0
72,272,262,0
73,271,269,0
74,267,274,0
75,263,271,0
76,268,269,0
77,270,262,0
78,273,280,0
79,269,270,0
80,268,276,0
81,271,274,0
82,279,264,0
83,273,273,0
84,277,271,0
85,277,274,0
86,277,264,0
87,271,271,0
88,267,269,0
89,272,269,0
90,278,265,0
91,277,266,0
92,262,279,0
93,279,262,0
94,269,274,0
95,265,270,0
96,272,262,0
97,280,273,0
98,273,261,0
99,269,268,0
100,264,262,0
101,266,280,0
102,266,276,0
103,262,274,0
104,266,267,0
105,278,275,0
106,272,267,0
107,278,264,0
108,263,262,0
109,272,261,0
110,272,261,0
111,268,276,0
112,280,263,0
113,276,268,0
114,276,280,0
115,263,273,0
116,272,265,0
117,279,278,0
118,265,279,0
119,265,271,0
120,264,268,0
121,264,261,0
122,273,265,0
123,270,268,0
124,4,6,0
125,13,8,0
126,15,20,0
127,4,5,0
128,7,12,0
129,19,6,0
130,2,4,0
131,19,4,0
132,10,6,0
133,6,2,0
134,2,11,0
135,9,4,0
136,16,20,0
137,4,12,0
138,17,15,0
139,7,13,0
140,16,17,0
141,1,12,0
142,10,5,0
143,18,3,0
144,14,2,0
145,19,7,0
146,3,5,0
147,9,4,0
148,10,9,0
149,2,10,0
150,6,19,0
151,4,4,0
152,10,2,0
153,19,2,0
154,3,5,0
155,1,15,0
156,15,5,0
157,13,19,0
158,1,13,0
159,7,6,0
160,8,17,0
161,15,8,0
162,12,10,0
163,13,10,0
164,12,10,0
165,13,10,0
166,6,20,0
167,4,15,0
168,18,10,0
169,19,6,0
170,4,4,0
171,15,20,0
172,10,20,0
173,14,12,0
174,4,6,0
175,12,19,0
176,3,11,0
177,13,3,0
178,20,12,0
179,14,11,0
180,6,14,0
181,2,14,0
182,10,16,0
183,15,17,0
184,13,2,0
185,5,7,0
186,6,12,0
187,2,6,0
188,4,13,0
189,9,1,0
190,6,3,0
191,19,15,0
192,16,18,0
193,2,20,0
194,8,5,0
195,4,4,0
196,5,8,0
197,18,18,0
198,6,2,0
199,1,15,0
200,10,16,0
201,9,12,0
202,11,16,0
203,16,9,0
204,15,11,0
205,13,3,0
206,15,5,0
207,18,12,0
208,6,3,0
209,14,12,0
210,14,2,0
211,9,7,0
212,1,12,0
213,16,1,0
214,19,9,0
215,9,14,0
216,4,13,0
217,10,12,0
218,16,20,0
219,14,4,0
220,2,14,0
221,6,6,0
222,19,11,0
223,19,16,0
224,13,12,0
225,12,3,0
226,11,11,0
227,10,14,0
228,18,3,0
229,3,20,0
230,18,20,0
231,11,17,0
232,8,4,0
233,7,20,0
234,2,12,0
235,20,3,0
236,9,17,0
237,17,10,0
238,5,18,0
239,19,14,0
240,20,9,0
241,18,3,0
242,19,17,0
243,10,12,0
244,12,1,0
245,20,4,0
246,15,11,0
247,7,15,0
248,5,14,0
249,15,3,0
